Local Authority ,Region,Initial Allocation,Number of  hereditaments that the local authority has identified may be in scope to receive a grant as at 03 Aug,Number of grant payments made  to hereditaments as at 03 Aug,Value of payments (£) 
Adur District Council,South East,"£17,640,000",997,906,"£10,920,000"
Allerdale Borough Council,North West,"£42,194,000","3,369","3,118","£36,115,000"
Amber Valley Borough Council,East Midlands,"£28,948,000","2,531","2,125","£24,475,000"
Arun District Council,South East,"£39,380,000","2,698","2,646","£31,320,000"
Ashfield District Council,East Midlands,"£22,284,000","1,687","1,625","£18,170,000"
Ashford Borough Council,South East,"£30,262,000","2,392","2,245","£26,890,000"
Babergh District Council,East of England,"£24,542,000","2,020","1,935","£22,125,000"
Barnsley Metropolitan Borough Council,Yorkshire and the Humber,"£46,892,000","3,902","3,835","£42,400,000"
Barrow Borough Council,North West,"£16,812,000",998,995,"£11,225,000"
Basildon Council,East of England,"£27,454,000","2,385","2,194","£29,665,000"
Basingstoke & Deane Borough Council,South East,"£19,716,000","1,635","1,626","£21,780,000"
Bassetlaw District Council,East Midlands,"£28,836,000","2,150","2,105","£24,350,000"
Bath and North East Somerset Council,South West,"£46,106,000","3,057","2,983","£38,875,000"
Bedford Borough Council,East of England,"£32,816,000","2,767","2,306","£27,395,000"
Birmingham City Council,West Midlands,"£231,576,000","19,105","17,166","£206,310,000"
Blaby District Council,East Midlands,"£12,628,000","1,028",924,"£10,620,000"
Blackburn with Darwen Borough Council,North West,"£46,448,000","3,986","3,659","£40,175,000"
Blackpool Council,North West,"£59,124,000","3,884","3,884","£44,120,000"
Bolsover District Council,East Midlands,"£14,216,000","1,146","1,130","£12,335,000"
Bolton Metropolitan Borough Council,North West,"£68,092,000","5,350","5,060","£57,455,000"
Borough Council of Kings Lynn & West Norfolk,East of England,"£47,864,000","3,375","3,279","£38,025,000"
Borough Council of Wellingborough,East Midlands,"£17,822,000","1,704","1,386","£16,500,000"
Borough of Broxbourne Council,East of England,"£15,680,000","1,301","1,203","£15,780,000"
Boston Borough Council,East Midlands,"£16,640,000","1,256","1,226","£14,165,000"
"Bournemouth, Christchurch and Poole Borough Council",South West,"£128,802,000","7,139","6,107","£77,930,000"
Bracknell Forest Council,South East,"£10,360,000",761,762,"£10,035,000"
Braintree District Council,East of England,"£31,570,000","2,485","2,458","£28,870,000"
Breckland Council,East of England,"£30,588,000","2,587","2,461","£27,910,000"
Brentwood Borough Council,East of England,"£15,552,000","1,263","1,170","£16,365,000"
Brighton & Hove City Council,South East,"£82,884,000","5,536","4,928","£67,055,000"
Bristol City Council,South West,"£88,338,000","7,588","7,283","£92,480,000"
Broadland District Council,East of England,"£26,242,000","2,175","2,141","£24,200,000"
Bromsgrove District Council,West Midlands,"£21,222,000","1,688","1,688","£19,400,000"
Broxtowe Borough Council,East Midlands,"£17,914,000","1,499","1,431","£17,040,000"
Buckinghamshire Council,South East,"£91,846,000","7,582","6,370","£83,575,000"
Burnley Borough Council,North West,"£26,510,000","2,233","1,951","£22,000,000"
Bury Council,North West,"£42,920,000","3,275","3,234","£37,590,000"
Calderdale Council,Yorkshire and the Humber,"£65,570,000","5,173","5,173","£57,910,000"
Cambridge City Council,East of England,"£22,170,000","1,485","1,456","£22,180,000"
Cannock Chase District Council,West Midlands,"£23,864,000","1,911","1,749","£20,040,000"
Canterbury City Council,South East,"£48,240,000","2,943","2,700","£33,705,000"
Carlisle City Council,North West,"£30,032,000","2,334","2,286","£26,460,000"
Castle Point Borough Council,East of England,"£15,462,000","1,330","1,164","£13,215,000"
Central Bedfordshire Council,East of England,"£45,742,000","4,009","3,367","£40,945,000"
Charnwood Borough Council*,East Midlands,"£32,544,000","2,871","2,487","£29,925,000"
Chelmsford City Council,East of England,"£31,282,000","2,661","2,573","£33,095,000"
Cheltenham Borough Council,South West,"£24,560,000","1,835","1,825","£22,945,000"
Cherwell District Council,South East,"£26,690,000","2,057","1,960","£25,765,000"
Cheshire East Council,North West,"£95,514,000","7,432","6,965","£84,005,000"
Cheshire West & Chester Council,North West,"£71,084,000","5,836","5,715","£69,150,000"
Chesterfield Borough Council,East Midlands,"£27,698,000","2,290","2,208","£25,800,000"
Chichester District Council,South East,"£37,086,000","2,988","2,969","£35,900,000"
Chorley Borough Council*,North West,"£24,784,000","2,355","1,856","£21,230,000"
City of Bradford Metropolitan District Council,Yorkshire and the Humber,"£135,934,000","11,507","10,692","£121,110,000"
City of Lincoln Council,East Midlands,"£22,188,000","1,927","1,701","£21,210,000"
City of London,London,"£14,740,000",1186,1184,"£18,410,000"
City of Wolverhampton Council,West Midlands,"£53,518,000","4,369","3,906","£44,355,000"
City of York Council,Yorkshire and the Humber,"£44,320,000","3,531","3,457","£45,880,000"
Colchester Borough Council,East of England,"£42,124,000","2,611","2,493","£31,725,000"
Copeland Borough Council,North West,"£18,032,000","1,495","1,337","£15,245,000"
Corby Borough Council,East Midlands,"£11,516,000","1,066",841,"£10,030,000"
Cornwall Council,South West,"£281,452,000","23,828","20,795","£235,895,000"
Cotswold District Council,South West,"£37,464,000","3,070","2,834","£35,135,000"
Council of the Isles of Scilly,South West,"£4,230,000",397,376,"£4,075,000"
Coventry City Council,West Midlands,"£53,896,000","4,562","3,929","£46,715,000"
Craven District Council,Yorkshire and the Humber,"£26,844,000","2,103","2,033","£23,750,000"
Crawley Borough Council,South East,"£12,102,000",922,835,"£12,160,000"
Dacorum Borough Council,East of England,"£26,300,000","2,073","1,881","£25,650,000"
Darlington Borough Council,North East ,"£25,972,000","2,087","2,087","£23,690,000"
Dartford Borough Council,South East,"£13,820,000","1,122",1053,"£13,215,000"
Daventry District Council,East Midlands,"£15,402,000","1,347","1,219","£14,380,000"
Derby City Council,East Midlands,"£45,866,000","3,892","3,501","£42,705,000"
Derbyshire Dales District Council,East Midlands,"£36,296,000","2,959","2,731","£31,360,000"
Doncaster Council,Yorkshire and the Humber,"£64,402,000","5,133","4,770","£54,030,000"
Dorset Council,South West,"£133,770,000","10,402","8,842","£105,070,000"
Dover District Council,South East,"£27,634,000","2,142","1,981","£22,975,000"
Dudley Metropolitan Borough Council,West Midlands,"£66,588,000","5,054","4,730","£54,470,000"
Durham County Council,North East ,"£107,296,000","8,828","8,817","£98,625,000"
East Cambridgeshire District Council,East of England,"£15,808,000","1,315","1,159","£14,110,000"
East Devon District Council,South West,"£50,136,000","3,859","3,592","£41,980,000"
East Hampshire District Council,South East,"£25,688,000","2,128","2,057","£25,175,000"
East Herts District Council,East of England,"£31,124,000","2,419","2,335","£29,275,000"
